Potential,Disk-O2,Ring-O2,Disk-N2,Ring-N2,Disk-Density,Ring-Density,Potential_RHE,ABS
-0.7430,-0.0010100,0.0000421,0.00009190,0.00000985,-4.4521212578e+00,1.3030302525e-01,0.2243,2.2113132477e+00
-0.7420,-0.0010100,0.0000420,0.00009210,0.00000983,-4.4529294968e+00,1.2997978926e-01,0.2253,2.2121214867e+00
-0.7410,-0.0010200,0.0000421,0.00009220,0.00000982,-4.4937372208e+00,1.3042424619e-01,0.2263,2.2529292107e+00
-0.7400,-0.0010100,0.0000420,0.00009230,0.00000982,-4.4537372589e+00,1.3002020121e-01,0.2273,2.2129292488e+00
-0.7390,-0.0010100,0.0000420,0.00009240,0.00000980,-4.4541416168e+00,1.3010099530e-01,0.2283,2.2133336067e+00
-0.7380,-0.0010200,0.0000420,0.00009250,0.00000980,-4.4949493408e+00,1.3010099530e-01,0.2293,2.2541413307e+00
-0.7370,-0.0010100,0.0000420,0.00009260,0.00000979,-4.4549493790e+00,1.3014140725e-01,0.2303,2.2141413689e+00
-0.7360,-0.0010100,0.0000420,0.00009270,0.00000978,-4.4553537369e+00,1.3018181920e-01,0.2313,2.2145457268e+00
-0.7350,-0.0010100,0.0000419,0.00009270,0.00000978,-4.4553537369e+00,1.2977777421e-01,0.2323,2.2145457268e+00
-0.7340,-0.0010100,0.0000419,0.00009280,0.00000977,-4.4557576180e+00,1.2981818616e-01,0.2333,2.2149496078e+00
-0.7330,-0.0010100,0.0000420,0.00009290,0.00000977,-4.4561614990e+00,1.3022221625e-01,0.2343,2.2153534889e+00
-0.7320,-0.0010100,0.0000419,0.00009300,0.00000976,-4.4565658569e+00,1.2985858321e-01,0.2353,2.2157578468e+00
-0.7310,-0.0010100,0.0000419,0.00009310,0.00000975,-4.4569697380e+00,1.2989898026e-01,0.2363,2.2161617279e+00
-0.7300,-0.0010100,0.0000420,0.00009330,0.00000974,-4.4577779770e+00,1.3034343719e-01,0.2373,2.2169699669e+00
-0.7290,-0.0010100,0.0000417,0.00009350,0.00000972,-4.4585857391e+00,1.2921212614e-01,0.2383,2.2177777290e+00
-0.7280,-0.0010100,0.0000418,0.00009350,0.00000971,-4.4585857391e+00,1.2965656817e-01,0.2393,2.2177777290e+00
-0.7270,-0.0010100,0.0000419,0.00009370,0.00000972,-4.4593939781e+00,1.3002020121e-01,0.2403,2.2185859680e+00
-0.7260,-0.0010100,0.0000418,0.00009370,0.00000970,-4.4593939781e+00,1.2969698012e-01,0.2413,2.2185859680e+00
-0.7250,-0.0010100,0.0000418,0.00009380,0.00000971,-4.4597978592e+00,1.2965656817e-01,0.2423,2.2189898491e+00
-0.7240,-0.0010100,0.0000418,0.00009390,0.00000970,-4.4602022171e+00,1.2969698012e-01,0.2433,2.2193942070e+00
-0.7230,-0.0010100,0.0000418,0.00009400,0.00000970,-4.4606060982e+00,1.2969698012e-01,0.2443,2.2197980881e+00
-0.7220,-0.0010100,0.0000418,0.00009410,0.00000967,-4.4610099792e+00,1.2981820107e-01,0.2453,2.2202019691e+00
-0.7210,-0.0010000,0.0000416,0.00009420,0.00000966,-4.4210104942e+00,1.2905049324e-01,0.2463,2.1802024841e+00
-0.7200,-0.0010100,0.0000418,0.00009440,0.00000965,-4.4622225761e+00,1.2989899516e-01,0.2473,2.2214145660e+00
-0.7190,-0.0010000,0.0000417,0.00009440,0.00000964,-4.4218182564e+00,1.2953536212e-01,0.2483,2.1810102463e+00
-0.7180,-0.0010100,0.0000417,0.00009450,0.00000964,-4.4626264572e+00,1.2953536212e-01,0.2493,2.2218184471e+00
-0.7170,-0.0010100,0.0000417,0.00009470,0.00000964,-4.4634346962e+00,1.2953536212e-01,0.2503,2.2226266861e+00
-0.7160,-0.0010100,0.0000417,0.00009490,0.00000964,-4.4642424583e+00,1.2953536212e-01,0.2513,2.2234344482e+00
-0.7150,-0.0010100,0.0000417,0.00009490,0.00000962,-4.4642424583e+00,1.2961617112e-01,0.2523,2.2234344482e+00
-0.7140,-0.0010000,0.0000416,0.00009490,0.00000961,-4.4238386154e+00,1.2925252318e-01,0.2533,2.1830306053e+00
-0.7130,-0.0010100,0.0000416,0.00009500,0.00000961,-4.4646468163e+00,1.2925252318e-01,0.2543,2.2238388062e+00
-0.7120,-0.0010100,0.0000417,0.00009500,0.00000961,-4.4646468163e+00,1.2965656817e-01,0.2553,2.2238388062e+00
-0.7110,-0.0010100,0.0000417,0.00009510,0.00000959,-4.4650506973e+00,1.2973737717e-01,0.2563,2.2242426872e+00
-0.7100,-0.0010100,0.0000416,0.00009530,0.00000959,-4.4658589363e+00,1.2933333218e-01,0.2573,2.2250509262e+00
-0.7090,-0.0010000,0.0000416,0.00009540,0.00000958,-4.4258589745e+00,1.2937374413e-01,0.2583,2.1850509644e+00
-0.7080,-0.0010000,0.0000416,0.00009540,0.00000957,-4.4258589745e+00,1.2941415608e-01,0.2593,2.1850509644e+00
-0.7070,-0.0010000,0.0000415,0.00009550,0.00000956,-4.4262628555e+00,1.2905049324e-01,0.2603,2.1854548454e+00
-0.7060,-0.0010100,0.0000416,0.00009560,0.00000955,-4.4670710564e+00,1.2949495018e-01,0.2613,2.2262630463e+00
-0.7050,-0.0009990,0.0000416,0.00009570,0.00000954,-4.4230303764e+00,1.2953536212e-01,0.2623,2.1822223663e+00
-0.7040,-0.0010000,0.0000415,0.00009580,0.00000953,-4.4274749756e+00,1.2917171419e-01,0.2633,2.1866669655e+00
